Date,Country,Holiday
"2018, 5, 1",Belgium, Dag van de Arbeid
"2018, 7, 21",Belgium, Nationale feestdag
"2018, 8, 15",Belgium, O.L.V. Hemelvaart
"2018, 11, 1",Belgium, Allerheiligen
"2018, 11, 11",Belgium, Wapenstilstand
"2018, 12, 25",Belgium, Kerstmis
"2018, 1, 1",Argentina," ""Año Nuevo [New Years Day]"""
"2018, 2, 12",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2018, 2, 13",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2018, 3, 24",Argentina," ""Día Nacional de la Memoria por la Verdad y la Justicia [Memorys National Day for the Truth and Justice]"""
"2018, 3, 29",Argentina, Semana Santa 
"2018, 3, 30",Argentina, Semana Santa 
"2018, 4, 1",Argentina, Día de Pascuas [Easter Day]
"2018, 4, 2",Argentina, Día del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Dayand the Fallen in the Malvinas War]
"2018, 5, 1",Argentina, Día del Trabajo [Labour Day]
"2018, 5, 25",Argentina, Día de la Revolucion de Mayo [May Revolution Day]
"2018, 6, 17",Argentina, Día Pase a la Inmortalidad del General Martín Miguel de Güemes [Day Pass to the Immortality of General Martín Miguel de Güemes]
"2018, 6, 20",Argentina, Día Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano]
"2018, 7, 9",Argentina, Día de la Independencia [Independence Day]
"2018, 8, 17",Argentina, Día Pase a la Inmortalidad del General D. José de San Martin [Day Pass to the Immortality of General D. José de San Martin]
"2018, 10, 12",Argentina, Día del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day]
"2018, 11, 20",Argentina, Día Nacional de la Soberanía [National Sovereignty Day]
"2018, 12, 8",Argentina, La Inmaculada Concepción [Immaculate Conception]
"2018, 12, 25",Argentina, Navidad [Christmas]
"2017, 1, 1",Argentina," ""Año Nuevo [New Years Day]"""
"2017, 2, 27",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2017, 2, 28",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2017, 3, 24",Argentina," ""Día Nacional de la Memoria por la Verdad y la Justicia [Memorys National Day for the Truth and Justice]"""
"2017, 4, 13",Argentina, Semana Santa 
"2017, 4, 14",Argentina, Semana Santa 
"2017, 4, 16",Argentina, Día de Pascuas [Easter Day]
"2017, 4, 2",Argentina, Día del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Dayand the Fallen in the Malvinas War]
"2017, 5, 1",Argentina, Día del Trabajo [Labour Day]
"2017, 5, 25",Argentina, Día de la Revolucion de Mayo [May Revolution Day]
"2017, 6, 17",Argentina, Día Pase a la Inmortalidad del General Martín Miguel de Güemes [Day Pass to the Immortality of General Martín Miguel de Güemes]
"2017, 6, 20",Argentina, Día Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano]
"2017, 7, 9",Argentina, Día de la Independencia [Independence Day]
"2017, 8, 17",Argentina, Día Pase a la Inmortalidad del General D. José de San Martin [Day Pass to the Immortality of General D. José de San Martin]
"2017, 10, 12",Argentina, Día del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day]
"2017, 11, 20",Argentina, Día Nacional de la Soberanía [National Sovereignty Day]
"2017, 12, 8",Argentina, La Inmaculada Concepción [Immaculate Conception]
"2017, 12, 25",Argentina, Navidad [Christmas]
"2016, 1, 1",Argentina," ""Año Nuevo [New Years Day]"""
"2016, 2, 8",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2016, 2, 9",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2016, 3, 24",Argentina," ""Semana Santa "
"2016, 3, 25",Argentina, Semana Santa 
"2016, 3, 27",Argentina, Día de Pascuas [Easter Day]
"2016, 4, 2",Argentina, Día del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Dayand the Fallen in the Malvinas War]
"2016, 5, 1",Argentina, Día del Trabajo [Labour Day]
"2016, 5, 25",Argentina, Día de la Revolucion de Mayo [May Revolution Day]
"2016, 6, 17",Argentina, Día Pase a la Inmortalidad del General Martín Miguel de Güemes [Day Pass to the Immortality of General Martín Miguel de Güemes]
"2016, 6, 20",Argentina, Día Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano]
"2016, 7, 9",Argentina, Día de la Independencia [Independence Day]
"2016, 8, 17",Argentina, Día Pase a la Inmortalidad del General D. José de San Martin [Day Pass to the Immortality of General D. José de San Martin]
"2016, 10, 12",Argentina, Día del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day]
"2016, 11, 20",Argentina, Día Nacional de la Soberanía [National Sovereignty Day]
"2016, 12, 8",Argentina, La Inmaculada Concepción [Immaculate Conception]
"2016, 12, 25",Argentina, Navidad [Christmas]
"2015, 1, 1",Argentina," ""Año Nuevo [New Years Day]"""
"2015, 2, 16",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2015, 2, 17",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2015, 3, 24",Argentina," ""Día Nacional de la Memoria por la Verdad y la Justicia [Memorys National Day for the Truth and Justice]"""
"2015, 4, 2",Argentina, Día del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Dayand the Fallen in the Malvinas War] Semana Santa 
"2015, 4, 3",Argentina, Semana Santa 
"2015, 4, 5",Argentina, Día de Pascuas [Easter Day]
"2015, 5, 1",Argentina, Día del Trabajo [Labour Day]
"2015, 5, 25",Argentina, Día de la Revolucion de Mayo [May Revolution Day]
"2015, 6, 17",Argentina, Día Pase a la Inmortalidad del General Martín Miguel de Güemes [Day Pass to the Immortality of General Martín Miguel de Güemes]
"2015, 6, 20",Argentina, Día Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano]
"2015, 7, 9",Argentina, Día de la Independencia [Independence Day]
"2015, 8, 17",Argentina, Día Pase a la Inmortalidad del General D. José de San Martin [Day Pass to the Immortality of General D. José de San Martin]
"2015, 10, 12",Argentina, Día del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day]
"2015, 11, 20",Argentina, Día Nacional de la Soberanía [National Sovereignty Day]
"2015, 12, 8",Argentina, La Inmaculada Concepción [Immaculate Conception]
"2015, 12, 25",Argentina, Navidad [Christmas]
"2014, 1, 1",Argentina," ""Año Nuevo [New Years Day]"""
"2014, 3, 3",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2014, 3, 4",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2014, 3, 24",Argentina," ""Día Nacional de la Memoria por la Verdad y la Justicia [Memorys National Day for the Truth and Justice]"""
"2014, 4, 17",Argentina, Semana Santa 
"2014, 4, 18",Argentina, Semana Santa 
"2014, 4, 20",Argentina, Día de Pascuas [Easter Day]
"2014, 4, 2",Argentina, Día del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Dayand the Fallen in the Malvinas War]
"2014, 5, 1",Argentina, Día del Trabajo [Labour Day]
"2014, 5, 25",Argentina, Día de la Revolucion de Mayo [May Revolution Day]
"2014, 6, 17",Argentina, Día Pase a la Inmortalidad del General Martín Miguel de Güemes [Day Pass to the Immortality of General Martín Miguel de Güemes]
"2014, 6, 20",Argentina, Día Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano]
"2014, 7, 9",Argentina, Día de la Independencia [Independence Day]
"2014, 8, 17",Argentina, Día Pase a la Inmortalidad del General D. José de San Martin [Day Pass to the Immortality of General D. José de San Martin]
"2014, 10, 12",Argentina, Día del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day]
"2014, 11, 20",Argentina, Día Nacional de la Soberanía [National Sovereignty Day]
"2014, 12, 8",Argentina, La Inmaculada Concepción [Immaculate Conception]
"2014, 12, 25",Argentina, Navidad [Christmas]
"2013, 1, 1",Argentina," ""Año Nuevo [New Years Day]"""
"2013, 2, 11",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2013, 2, 12",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2013, 3, 24",Argentina," ""Día Nacional de la Memoria por la Verdad y la Justicia [Memorys National Day for the Truth and Justice]"""
"2013, 3, 28",Argentina, Semana Santa 
"2013, 3, 29",Argentina, Semana Santa 
"2013, 3, 31",Argentina, Día de Pascuas [Easter Day]
"2013, 4, 2",Argentina, Día del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Dayand the Fallen in the Malvinas War]
"2013, 5, 1",Argentina, Día del Trabajo [Labour Day]
"2013, 5, 25",Argentina, Día de la Revolucion de Mayo [May Revolution Day]
"2013, 6, 17",Argentina, Día Pase a la Inmortalidad del General Martín Miguel de Güemes [Day Pass to the Immortality of General Martín Miguel de Güemes]
"2013, 6, 20",Argentina, Día Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano]
"2013, 7, 9",Argentina, Día de la Independencia [Independence Day]
"2013, 8, 17",Argentina, Día Pase a la Inmortalidad del General D. José de San Martin [Day Pass to the Immortality of General D. José de San Martin]
"2013, 10, 12",Argentina, Día del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day]
"2013, 11, 20",Argentina, Día Nacional de la Soberanía [National Sovereignty Day]
"2013, 12, 8",Argentina, La Inmaculada Concepción [Immaculate Conception]
"2013, 12, 25",Argentina, Navidad [Christmas]
"2012, 1, 1",Argentina," ""Año Nuevo [New Years Day]"""
"2012, 2, 20",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2012, 2, 21",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2012, 3, 24",Argentina," ""Día Nacional de la Memoria por la Verdad y la Justicia [Memorys National Day for the Truth and Justice]"""
"2012, 4, 5",Argentina, Semana Santa 
"2012, 4, 6",Argentina, Semana Santa 
"2012, 4, 8",Argentina, Día de Pascuas [Easter Day]
"2012, 4, 2",Argentina, Día del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Dayand the Fallen in the Malvinas War]
"2012, 5, 1",Argentina, Día del Trabajo [Labour Day]
"2012, 5, 25",Argentina, Día de la Revolucion de Mayo [May Revolution Day]
"2012, 6, 17",Argentina, Día Pase a la Inmortalidad del General Martín Miguel de Güemes [Day Pass to the Immortality of General Martín Miguel de Güemes]
"2012, 6, 20",Argentina, Día Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano]
"2012, 7, 9",Argentina, Día de la Independencia [Independence Day]
"2012, 8, 17",Argentina, Día Pase a la Inmortalidad del General D. José de San Martin [Day Pass to the Immortality of General D. José de San Martin]
"2012, 10, 12",Argentina, Día del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day]
"2012, 11, 20",Argentina, Día Nacional de la Soberanía [National Sovereignty Day]
"2012, 12, 8",Argentina, La Inmaculada Concepción [Immaculate Conception]
"2012, 12, 25",Argentina, Navidad [Christmas]
"2011, 1, 1",Argentina," ""Año Nuevo [New Years Day]"""
"2011, 3, 7",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2011, 3, 8",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2011, 3, 24",Argentina," ""Día Nacional de la Memoria por la Verdad y la Justicia [Memorys National Day for the Truth and Justice]"""
"2011, 4, 21",Argentina, Semana Santa 
"2011, 4, 22",Argentina, Semana Santa 
"2011, 4, 24",Argentina, Día de Pascuas [Easter Day]
"2011, 4, 2",Argentina, Día del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Dayand the Fallen in the Malvinas War]
"2011, 5, 1",Argentina, Día del Trabajo [Labour Day]
"2011, 5, 25",Argentina, Día de la Revolucion de Mayo [May Revolution Day]
"2011, 6, 17",Argentina, Día Pase a la Inmortalidad del General Martín Miguel de Güemes [Day Pass to the Immortality of General Martín Miguel de Güemes]
"2011, 6, 20",Argentina, Día Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano]
"2011, 7, 9",Argentina, Día de la Independencia [Independence Day]
"2011, 8, 17",Argentina, Día Pase a la Inmortalidad del General D. José de San Martin [Day Pass to the Immortality of General D. José de San Martin]
"2011, 10, 12",Argentina, Día del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day]
"2011, 11, 20",Argentina, Día Nacional de la Soberanía [National Sovereignty Day]
"2011, 12, 8",Argentina, La Inmaculada Concepción [Immaculate Conception]
"2011, 12, 25",Argentina, Navidad [Christmas]}
"2011, 5, 1",Columbia, Día del Trabajo [Labour Day]
"2011, 7, 20",Columbia, Día de la Independencia [Independence Day]
"2011, 8, 7",Columbia, Batalla de Boyacá [Battle of Boyacá]
"2011, 12, 8",Columbia, La Inmaculada Concepción [Immaculate Conception]
"2011, 12, 25",Columbia, Navidad [Christmas]
"2011, 1, 10",Columbia, Día de los Reyes Magos [Epiphany]
"2011, 3, 21",Columbia," ""Día de San José [Saint Josephs Day]"
"2011, 7, 4",Columbia, Sagrado Corazón [Sacred Heart]
"2011, 8, 15",Columbia, La Asunción [Assumption of Mary]
"2011, 10, 17",Columbia, Descubrimiento de América [Discovery of America]
"2011, 11, 7",Columbia," ""Dia de Todos los Santos [All Saints Day]"
"2011, 11, 14",Columbia, Independencia de Cartagena [Independence of Cartagena]
"2011, 4, 21",Columbia, Jueves Santo [Maundy Thursday]
"2011, 4, 22",Columbia, Viernes Santo [Good Friday]
"2011, 6, 6",Columbia, Ascensión del señor [Ascension of Jesus]
"2011, 6, 27",Columbia, Corpus Christi [Corpus Christi]
"2012, 5, 1",Columbia, Día del Trabajo [Labour Day]
"2012, 7, 20",Columbia, Día de la Independencia [Independence Day]
"2012, 8, 7",Columbia, Batalla de Boyacá [Battle of Boyacá]
"2012, 12, 25",Columbia, Navidad [Christmas]
"2012, 1, 9",Columbia, Día de los Reyes Magos [Epiphany]
"2012, 3, 19",Columbia," ""Día de San José [Saint Josephs Day]"""
"2012, 7, 2",Columbia, San Pedro y San Pablo [Saint Peter and Saint Paul]
"2012, 8, 20",Columbia, La Asunción [Assumption of Mary]
"2012, 10, 15",Columbia, Descubrimiento de América [Discovery of America]
"2012, 11, 5",Columbia," ""Dia de Todos los Santos [All Saints Day]"
"2012, 11, 12",Columbia, Independencia de Cartagena [Independence of Cartagena]
"2012, 4, 5",Columbia, Jueves Santo [Maundy Thursday]
"2012, 4, 6",Columbia, Viernes Santo [Good Friday]
"2012, 5, 21",Columbia, Ascensión del señor [Ascension of Jesus]
"2012, 6, 11",Columbia, Corpus Christi [Corpus Christi]
"2012, 6, 18",Columbia, Sagrado Corazón [Sacred Heart]
"2013, 1, 1",Columbia," ""Año Nuevo [New Years Day]"""
"2013, 5, 1",Columbia, Día del Trabajo [Labour Day]
"2013, 8, 7",Columbia, Batalla de Boyacá [Battle of Boyacá]
"2013, 12, 25",Columbia, Navidad [Christmas]
"2013, 1, 7",Columbia, Día de los Reyes Magos [Epiphany]
"2013, 3, 25",Columbia," ""Día de San José [Saint Josephs Day]"
"2013, 7, 1",Columbia, San Pedro y San Pablo [Saint Peter and Saint Paul]
"2013, 8, 19",Columbia, La Asunción [Assumption of Mary]
"2013, 10, 14",Columbia, Descubrimiento de América [Discovery of America]
"2013, 11, 4",Columbia," ""Dia de Todos los Santos [All Saints Day]"
"2013, 11, 11",Columbia, Independencia de Cartagena [Independence of Cartagena]
"2013, 3, 28",Columbia, Jueves Santo [Maundy Thursday]
"2013, 3, 29",Columbia, Viernes Santo [Good Friday]
"2013, 5, 13",Columbia, Ascensión del señor [Ascension of Jesus]
"2013, 6, 3",Columbia, Corpus Christi [Corpus Christi]
"2013, 6, 10",Columbia, Sagrado Corazón [Sacred Heart]
"2014, 1, 1",Columbia," ""Año Nuevo [New Years Day]"""
"2014, 5, 1",Columbia, Día del Trabajo [Labour Day]
"2014, 8, 7",Columbia, Batalla de Boyacá [Battle of Boyacá]
"2014, 12, 8",Columbia, La Inmaculada Concepción [Immaculate Conception]
"2014, 12, 25",Columbia, Navidad [Christmas]
"2014, 1, 6",Columbia, Día de los Reyes Magos [Epiphany]
"2014, 3, 24",Columbia," ""Día de San José [Saint Josephs Day]"
"2014, 6, 30",Columbia, Sagrado Corazón [Sacred Heart]
"2014, 8, 18",Columbia, La Asunción [Assumption of Mary]
"2014, 10, 13",Columbia, Descubrimiento de América [Discovery of America]
"2014, 11, 3",Columbia," ""Dia de Todos los Santos [All Saints Day]"
"2014, 11, 17",Columbia, Independencia de Cartagena [Independence of Cartagena]
"2014, 4, 17",Columbia, Jueves Santo [Maundy Thursday]
"2014, 4, 18",Columbia, Viernes Santo [Good Friday]
"2014, 6, 2",Columbia, Ascensión del señor [Ascension of Jesus]
"2014, 6, 23",Columbia, Corpus Christi [Corpus Christi]
"2015, 1, 1",Columbia," ""Año Nuevo [New Years Day]"""
"2015, 5, 1",Columbia, Día del Trabajo [Labour Day]
"2015, 7, 20",Columbia, Día de la Independencia [Independence Day]
"2015, 8, 7",Columbia, Batalla de Boyacá [Battle of Boyacá]
"2015, 12, 8",Columbia, La Inmaculada Concepción [Immaculate Conception]
"2015, 12, 25",Columbia, Navidad [Christmas]
"2015, 1, 12",Columbia, Día de los Reyes Magos [Epiphany]
"2015, 3, 23",Columbia," ""Día de San José [Saint Josephs Day]"
"2015, 6, 29",Columbia, San Pedro y San Pablo [Saint Peter and Saint Paul]
"2015, 8, 17",Columbia, La Asunción [Assumption of Mary]
"2015, 10, 12",Columbia, Descubrimiento de América [Discovery of America]
"2015, 11, 2",Columbia," ""Dia de Todos los Santos [All Saints Day]"
"2015, 11, 16",Columbia, Independencia de Cartagena [Independence of Cartagena]
"2015, 4, 2",Columbia, Jueves Santo [Maundy Thursday]
"2015, 4, 3",Columbia, Viernes Santo [Good Friday]
"2015, 5, 18",Columbia, Ascensión del señor [Ascension of Jesus]
"2015, 6, 8",Columbia, Corpus Christi [Corpus Christi]
"2015, 6, 15",Columbia, Sagrado Corazón [Sacred Heart]
"2016, 1, 1",Columbia," ""Año Nuevo [New Years Day]"""
"2016, 5, 1",Columbia, Día del Trabajo [Labour Day]
"2016, 7, 20",Columbia, Día de la Independencia [Independence Day]
"2016, 8, 7",Columbia, Batalla de Boyacá [Battle of Boyacá]
"2016, 12, 8",Columbia, La Inmaculada Concepción [Immaculate Conception]
"2016, 12, 25",Columbia, Navidad [Christmas]
"2016, 1, 11",Columbia, Día de los Reyes Magos [Epiphany]
"2016, 3, 21",Columbia," ""Día de San José [Saint Josephs Day]"
"2016, 7, 4",Columbia, San Pedro y San Pablo [Saint Peter and Saint Paul]
"2016, 8, 15",Columbia, La Asunción [Assumption of Mary]
"2016, 10, 17",Columbia, Descubrimiento de América [Discovery of America]
"2016, 11, 7",Columbia," ""Dia de Todos los Santos [All Saints Day]"
"2016, 11, 14",Columbia, Independencia de Cartagena [Independence of Cartagena]
"2016, 3, 24",Columbia, Jueves Santo [Maundy Thursday]
"2016, 3, 25",Columbia, Viernes Santo [Good Friday]
"2016, 5, 9",Columbia, Ascensión del señor [Ascension of Jesus]
"2016, 5, 30",Columbia, Corpus Christi [Corpus Christi]
"2016, 6, 6",Columbia, Sagrado Corazón [Sacred Heart]
"2017, 5, 1",Columbia, Día del Trabajo [Labour Day]
"2017, 7, 20",Columbia, Día de la Independencia [Independence Day]
"2017, 8, 7",Columbia, Batalla de Boyacá [Battle of Boyacá]
"2017, 12, 8",Columbia, La Inmaculada Concepción [Immaculate Conception]
"2017, 12, 25",Columbia, Navidad [Christmas]
